subject,theory,explo_overlap,trial,labelled,looking_time
0,LaF,0,0,no_label,40
0,LaF,0,0,label,40
0,LaF,0,1,no_label,40
0,LaF,0,1,label,40
0,LaF,0,2,no_label,40
0,LaF,0,2,label,38
0,LaF,0,3,no_label,40
0,LaF,0,3,label,36
0,LaF,0,4,no_label,38
0,LaF,0,4,label,33
0,LaF,0,5,no_label,34
0,LaF,0,5,label,30
0,LaF,0,6,no_label,31
0,LaF,0,6,label,27
0,LaF,0,7,no_label,28
0,LaF,0,7,label,24
1,CR,0,0,no_label,40
1,CR,0,0,label,40
1,CR,0,1,no_label,40
1,CR,0,1,label,40
1,CR,0,2,no_label,40
1,CR,0,2,label,33
1,CR,0,3,no_label,37
1,CR,0,3,label,31
1,CR,0,4,no_label,34
1,CR,0,4,label,29
1,CR,0,5,no_label,31
1,CR,0,5,label,26
1,CR,0,6,no_label,29
1,CR,0,6,label,24
1,CR,0,7,no_label,26
1,CR,0,7,label,22
2,LaF,0,0,label,40
2,LaF,0,0,no_label,40
2,LaF,0,1,label,40
2,LaF,0,1,no_label,40
2,LaF,0,2,label,39
2,LaF,0,2,no_label,40
2,LaF,0,3,label,36
2,LaF,0,3,no_label,38
2,LaF,0,4,label,34
2,LaF,0,4,no_label,35
2,LaF,0,5,label,31
2,LaF,0,5,no_label,32
2,LaF,0,6,label,28
2,LaF,0,6,no_label,29
2,LaF,0,7,label,25
2,LaF,0,7,no_label,26
3,CR,0,0,label,40
3,CR,0,0,no_label,40
3,CR,0,1,label,39
3,CR,0,1,no_label,40
3,CR,0,2,label,35
3,CR,0,2,no_label,38
3,CR,0,3,label,34
3,CR,0,3,no_label,35
3,CR,0,4,label,30
3,CR,0,4,no_label,32
3,CR,0,5,label,27
3,CR,0,5,no_label,30
3,CR,0,6,label,25
3,CR,0,6,no_label,27
3,CR,0,7,label,22
3,CR,0,7,no_label,24
4,LaF,0,0,no_label,36
4,LaF,0,0,label,31
4,LaF,0,1,no_label,35
4,LaF,0,1,label,30
4,LaF,0,2,no_label,33
4,LaF,0,2,label,29
4,LaF,0,3,no_label,32
4,LaF,0,3,label,28
4,LaF,0,4,no_label,30
4,LaF,0,4,label,26
4,LaF,0,5,no_label,28
4,LaF,0,5,label,25
4,LaF,0,6,no_label,27
4,LaF,0,6,label,23
4,LaF,0,7,no_label,25
4,LaF,0,7,label,22
5,CR,0,0,no_label,40
5,CR,0,0,label,40
5,CR,0,1,no_label,35
5,CR,0,1,label,40
5,CR,0,2,no_label,33
5,CR,0,2,label,38
5,CR,0,3,no_label,31
5,CR,0,3,label,36
5,CR,0,4,no_label,29
5,CR,0,4,label,33
5,CR,0,5,no_label,26
5,CR,0,5,label,31
5,CR,0,6,no_label,24
5,CR,0,6,label,28
5,CR,0,7,no_label,22
5,CR,0,7,label,25
6,LaF,0,0,label,30
6,LaF,0,0,no_label,36
6,LaF,0,1,label,31
6,LaF,0,1,no_label,34
6,LaF,0,2,label,30
6,LaF,0,2,no_label,33
6,LaF,0,3,label,28
6,LaF,0,3,no_label,31
6,LaF,0,4,label,27
6,LaF,0,4,no_label,29
6,LaF,0,5,label,26
6,LaF,0,5,no_label,28
6,LaF,0,6,label,24
6,LaF,0,6,no_label,26
6,LaF,0,7,label,23
6,LaF,0,7,no_label,25
7,CR,0,0,label,40
7,CR,0,0,no_label,40
7,CR,0,1,label,40
7,CR,0,1,no_label,35
7,CR,0,2,label,40
7,CR,0,2,no_label,32
7,CR,0,3,label,37
7,CR,0,3,no_label,30
7,CR,0,4,label,35
7,CR,0,4,no_label,28
7,CR,0,5,label,32
7,CR,0,5,no_label,25
7,CR,0,6,label,29
7,CR,0,6,no_label,23
7,CR,0,7,label,27
7,CR,0,7,no_label,21
8,LaF,0,0,no_label,40
8,LaF,0,0,label,40
8,LaF,0,1,no_label,40
8,LaF,0,1,label,40
8,LaF,0,2,no_label,40
8,LaF,0,2,label,38
8,LaF,0,3,no_label,40
8,LaF,0,3,label,36
8,LaF,0,4,no_label,38
8,LaF,0,4,label,33
8,LaF,0,5,no_label,34
8,LaF,0,5,label,30
8,LaF,0,6,no_label,31
8,LaF,0,6,label,27
8,LaF,0,7,no_label,28
8,LaF,0,7,label,24
9,CR,0,0,no_label,40
9,CR,0,0,label,40
9,CR,0,1,no_label,40
9,CR,0,1,label,40
9,CR,0,2,no_label,40
9,CR,0,2,label,33
9,CR,0,3,no_label,37
9,CR,0,3,label,31
9,CR,0,4,no_label,34
9,CR,0,4,label,29
9,CR,0,5,no_label,31
9,CR,0,5,label,26
9,CR,0,6,no_label,29
9,CR,0,6,label,24
9,CR,0,7,no_label,26
9,CR,0,7,label,22
10,LaF,0,0,label,40
10,LaF,0,0,no_label,40
10,LaF,0,1,label,40
10,LaF,0,1,no_label,40
10,LaF,0,2,label,39
10,LaF,0,2,no_label,40
10,LaF,0,3,label,36
10,LaF,0,3,no_label,38
10,LaF,0,4,label,34
10,LaF,0,4,no_label,35
10,LaF,0,5,label,31
10,LaF,0,5,no_label,32
10,LaF,0,6,label,28
10,LaF,0,6,no_label,29
10,LaF,0,7,label,25
10,LaF,0,7,no_label,26
11,CR,0,0,label,40
11,CR,0,0,no_label,40
11,CR,0,1,label,39
11,CR,0,1,no_label,40
11,CR,0,2,label,35
11,CR,0,2,no_label,38
11,CR,0,3,label,34
11,CR,0,3,no_label,35
11,CR,0,4,label,30
11,CR,0,4,no_label,32
11,CR,0,5,label,27
11,CR,0,5,no_label,30
11,CR,0,6,label,25
11,CR,0,6,no_label,27
11,CR,0,7,label,22
11,CR,0,7,no_label,24
12,LaF,0,0,no_label,38
12,LaF,0,0,label,33
12,LaF,0,1,no_label,38
12,LaF,0,1,label,32
12,LaF,0,2,no_label,36
12,LaF,0,2,label,31
12,LaF,0,3,no_label,34
12,LaF,0,3,label,29
12,LaF,0,4,no_label,33
12,LaF,0,4,label,28
12,LaF,0,5,no_label,31
12,LaF,0,5,label,27
12,LaF,0,6,no_label,30
12,LaF,0,6,label,26
12,LaF,0,7,no_label,28
12,LaF,0,7,label,24
13,CR,0,0,no_label,40
13,CR,0,0,label,40
13,CR,0,1,no_label,40
13,CR,0,1,label,39
13,CR,0,2,no_label,40
13,CR,0,2,label,36
13,CR,0,3,no_label,39
13,CR,0,3,label,33
13,CR,0,4,no_label,35
13,CR,0,4,label,31
13,CR,0,5,no_label,32
13,CR,0,5,label,28
13,CR,0,6,no_label,29
13,CR,0,6,label,25
13,CR,0,7,no_label,26
13,CR,0,7,label,22
14,LaF,0,0,label,35
14,LaF,0,0,no_label,38
14,LaF,0,1,label,32
14,LaF,0,1,no_label,35
14,LaF,0,2,label,31
14,LaF,0,2,no_label,34
14,LaF,0,3,label,29
14,LaF,0,3,no_label,32
14,LaF,0,4,label,28
14,LaF,0,4,no_label,31
14,LaF,0,5,label,27
14,LaF,0,5,no_label,29
14,LaF,0,6,label,25
14,LaF,0,6,no_label,27
14,LaF,0,7,label,24
14,LaF,0,7,no_label,26
15,CR,0,0,label,37
15,CR,0,0,no_label,40
15,CR,0,1,label,40
15,CR,0,1,no_label,40
15,CR,0,2,label,38
15,CR,0,2,no_label,40
15,CR,0,3,label,35
15,CR,0,3,no_label,37
15,CR,0,4,label,32
15,CR,0,4,no_label,34
15,CR,0,5,label,30
15,CR,0,5,no_label,31
15,CR,0,6,label,27
15,CR,0,6,no_label,28
15,CR,0,7,label,24
15,CR,0,7,no_label,25
16,LaF,0,0,no_label,40
16,LaF,0,0,label,40
16,LaF,0,1,no_label,40
16,LaF,0,1,label,40
16,LaF,0,2,no_label,38
16,LaF,0,2,label,40
16,LaF,0,3,no_label,35
16,LaF,0,3,label,40
16,LaF,0,4,no_label,32
16,LaF,0,4,label,36
16,LaF,0,5,no_label,30
16,LaF,0,5,label,33
16,LaF,0,6,no_label,27
16,LaF,0,6,label,30
16,LaF,0,7,no_label,24
16,LaF,0,7,label,26
17,CR,0,0,no_label,39
17,CR,0,0,label,40
17,CR,0,1,no_label,40
17,CR,0,1,label,40
17,CR,0,2,no_label,40
17,CR,0,2,label,40
