"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
641,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
641,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
641,"Labels as Features","DMN","0",1,"no_label",39,"Category",38.5917934810609
641,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
641,"Labels as Features","DMN","0",2,"no_label",36,"Category",35.8522491851233
641,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
641,"Labels as Features","DMN","0",3,"no_label",32,"Category",33.1127048891856
641,"Labels as Features","DMN","0",3,"label",40,"Category",34.7530776532533
641,"Labels as Features","DMN","0",4,"no_label",29,"Category",30.3731605932479
641,"Labels as Features","DMN","0",4,"label",40,"Category",32.2525721509003
641,"Labels as Features","DMN","0",5,"no_label",26,"Category",27.6336162973103
641,"Labels as Features","DMN","0",5,"label",40,"Category",29.7520666485472
641,"Labels as Features","DMN","0",6,"no_label",23,"Category",24.8940720013726
641,"Labels as Features","DMN","0",6,"label",40,"Category",27.2515611461942
641,"Labels as Features","DMN","0",7,"no_label",20,"Category",22.1545277054349
641,"Labels as Features","DMN","0",7,"label",40,"Category",24.7510556438411
643,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
643,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
643,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
643,"Compound Representations","DMN","0",1,"label",35,"Category",39.5327025702861
643,"Compound Representations","DMN","0",2,"no_label",37,"Category",36.5541194807638
643,"Compound Representations","DMN","0",2,"label",32,"Category",37.032197067933
643,"Compound Representations","DMN","0",3,"no_label",33,"Category",33.8145751848261
643,"Compound Representations","DMN","0",3,"label",28,"Category",34.53169156558
643,"Compound Representations","DMN","0",4,"no_label",29,"Category",31.0750308888885
643,"Compound Representations","DMN","0",4,"label",25,"Category",32.0311860632269
643,"Compound Representations","DMN","0",5,"no_label",25,"Category",28.3354865929508
643,"Compound Representations","DMN","0",5,"label",21,"Category",29.5306805608739
643,"Compound Representations","DMN","0",6,"no_label",22,"Category",25.5959422970131
643,"Compound Representations","DMN","0",6,"label",18,"Category",27.0301750585208
643,"Compound Representations","DMN","0",7,"no_label",18,"Category",22.8563980010755
643,"Compound Representations","DMN","0",7,"label",15,"Category",24.5296695561678
645,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
645,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
645,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
645,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
645,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
645,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
645,"Labels as Features","DMN","0",3,"label",40,"Category",34.7530776532533
645,"Labels as Features","DMN","0",3,"no_label",38,"Category",33.1127048891856
645,"Labels as Features","DMN","0",4,"label",39,"Category",32.2525721509003
645,"Labels as Features","DMN","0",4,"no_label",35,"Category",30.3731605932479
645,"Labels as Features","DMN","0",5,"label",37,"Category",29.7520666485472
645,"Labels as Features","DMN","0",5,"no_label",33,"Category",27.6336162973103
645,"Labels as Features","DMN","0",6,"label",34,"Category",27.2515611461942
645,"Labels as Features","DMN","0",6,"no_label",30,"Category",24.8940720013726
645,"Labels as Features","DMN","0",7,"label",31,"Category",24.7510556438411
645,"Labels as Features","DMN","0",7,"no_label",28,"Category",22.1545277054349
647,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
647,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
647,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
647,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
647,"Compound Representations","DMN","0",2,"label",40,"Category",37.032197067933
647,"Compound Representations","DMN","0",2,"no_label",40,"Category",36.5541194807638
647,"Compound Representations","DMN","0",3,"label",38,"Category",34.53169156558
647,"Compound Representations","DMN","0",3,"no_label",36,"Category",33.8145751848261
647,"Compound Representations","DMN","0",4,"label",33,"Category",32.0311860632269
647,"Compound Representations","DMN","0",4,"no_label",31,"Category",31.0750308888885
647,"Compound Representations","DMN","0",5,"label",28,"Category",29.5306805608739
647,"Compound Representations","DMN","0",5,"no_label",27,"Category",28.3354865929508
647,"Compound Representations","DMN","0",6,"label",24,"Category",27.0301750585208
647,"Compound Representations","DMN","0",6,"no_label",22,"Category",25.5959422970131
647,"Compound Representations","DMN","0",7,"label",20,"Category",24.5296695561678
647,"Compound Representations","DMN","0",7,"no_label",18,"Category",22.8563980010755
649,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
649,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
649,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
649,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
649,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
649,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
649,"Labels as Features","DMN","0",3,"no_label",40,"Category",33.1127048891856
649,"Labels as Features","DMN","0",3,"label",36,"Category",34.7530776532533
649,"Labels as Features","DMN","0",4,"no_label",40,"Category",30.3731605932479
649,"Labels as Features","DMN","0",4,"label",33,"Category",32.2525721509003
649,"Labels as Features","DMN","0",5,"no_label",40,"Category",27.6336162973103
649,"Labels as Features","DMN","0",5,"label",30,"Category",29.7520666485472
649,"Labels as Features","DMN","0",6,"no_label",39,"Category",24.8940720013726
649,"Labels as Features","DMN","0",6,"label",27,"Category",27.2515611461942
649,"Labels as Features","DMN","0",7,"no_label",35,"Category",22.1545277054349
649,"Labels as Features","DMN","0",7,"label",24,"Category",24.7510556438411
651,"Compound Representations","DMN","0",0,"no_label",40,"Category",42.0332080726391
651,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
651,"Compound Representations","DMN","0",1,"no_label",40,"Category",39.2936637767015
651,"Compound Representations","DMN","0",1,"label",40,"Category",39.5327025702861
651,"Compound Representations","DMN","0",2,"no_label",36,"Category",36.5541194807638
651,"Compound Representations","DMN","0",2,"label",39,"Category",37.032197067933
651,"Compound Representations","DMN","0",3,"no_label",33,"Category",33.8145751848261
651,"Compound Representations","DMN","0",3,"label",35,"Category",34.53169156558
651,"Compound Representations","DMN","0",4,"no_label",29,"Category",31.0750308888885
651,"Compound Representations","DMN","0",4,"label",31,"Category",32.0311860632269
651,"Compound Representations","DMN","0",5,"no_label",26,"Category",28.3354865929508
651,"Compound Representations","DMN","0",5,"label",27,"Category",29.5306805608739
651,"Compound Representations","DMN","0",6,"no_label",22,"Category",25.5959422970131
651,"Compound Representations","DMN","0",6,"label",23,"Category",27.0301750585208
651,"Compound Representations","DMN","0",7,"no_label",19,"Category",22.8563980010755
651,"Compound Representations","DMN","0",7,"label",19,"Category",24.5296695561678
653,"Labels as Features","DMN","0",0,"label",40,"Category",42.2545941603125
653,"Labels as Features","DMN","0",0,"no_label",40,"Category",41.3313377769986
653,"Labels as Features","DMN","0",1,"label",40,"Category",39.7540886579594
653,"Labels as Features","DMN","0",1,"no_label",40,"Category",38.5917934810609
653,"Labels as Features","DMN","0",2,"label",40,"Category",37.2535831556064
653,"Labels as Features","DMN","0",2,"no_label",40,"Category",35.8522491851233
653,"Labels as Features","DMN","0",3,"label",40,"Category",34.7530776532533
653,"Labels as Features","DMN","0",3,"no_label",39,"Category",33.1127048891856
653,"Labels as Features","DMN","0",4,"label",39,"Category",32.2525721509003
653,"Labels as Features","DMN","0",4,"no_label",34,"Category",30.3731605932479
653,"Labels as Features","DMN","0",5,"label",34,"Category",29.7520666485472
653,"Labels as Features","DMN","0",5,"no_label",30,"Category",27.6336162973103
653,"Labels as Features","DMN","0",6,"label",29,"Category",27.2515611461942
653,"Labels as Features","DMN","0",6,"no_label",25,"Category",24.8940720013726
653,"Labels as Features","DMN","0",7,"label",25,"Category",24.7510556438411
653,"Labels as Features","DMN","0",7,"no_label",21,"Category",22.1545277054349
655,"Compound Representations","DMN","0",0,"label",40,"Category",42.0332080726391
655,"Compound Representations","DMN","0",0,"no_label",39,"Category",42.0332080726391
655,"Compound Representations","DMN","0",1,"label",33,"Category",39.5327025702861
655,"Compound Representations","DMN","0",1,"no_label",36,"Category",39.2936637767015
655,"Compound Representations","DMN","0",2,"label",31,"Category",37.032197067933
655,"Compound Representations","DMN","0",2,"no_label",33,"Category",36.5541194807638
655,"Compound Representations","DMN","0",3,"label",28,"Category",34.53169156558
655,"Compound Representations","DMN","0",3,"no_label",30,"Category",33.8145751848261
