subject,theory,model,explo_overlap,trial,labelled,i_presentation,error
0,LaF,BPN,0,0,no_label,0,2.14737492263
0,LaF,BPN,0,0,no_label,1,0.813795487304
0,LaF,BPN,0,0,no_label,2,1.00089628446
0,LaF,BPN,0,0,no_label,3,0.639936689903
0,LaF,BPN,0,0,no_label,4,0.564927500911
0,LaF,BPN,0,0,no_label,5,0.420911600969
0,LaF,BPN,0,0,no_label,6,0.34282800768
0,LaF,BPN,0,0,no_label,7,0.266480013586
0,LaF,BPN,0,0,no_label,8,0.21261536978
0,LaF,BPN,0,0,no_label,9,0.167295117749
0,LaF,BPN,0,0,no_label,10,0.132756807945
0,LaF,BPN,0,0,no_label,11,0.104882220318
0,LaF,BPN,0,0,no_label,12,0.0831176582325
0,LaF,BPN,0,0,no_label,13,0.0657740698939
0,LaF,BPN,0,0,no_label,14,0.0521161167982
0,LaF,BPN,0,0,no_label,15,0.0412763340177
0,LaF,BPN,0,0,no_label,16,0.0327108779639
0,LaF,BPN,0,0,no_label,17,0.0259209582746
0,LaF,BPN,0,0,no_label,18,0.0205471983747
0,LaF,BPN,0,0,no_label,19,0.0162883054608
0,LaF,BPN,0,0,no_label,20,0.0129148347391
0,LaF,BPN,0,0,no_label,21,0.0102409367963
0,LaF,BPN,0,0,no_label,22,0.00812183085709
0,LaF,BPN,0,0,no_label,23,0.00644181543566
0,LaF,BPN,0,0,no_label,24,0.00510988815745
0,LaF,BPN,0,0,no_label,25,0.00405370334847
0,LaF,BPN,0,0,no_label,26,0.00321611891705
0,LaF,BPN,0,0,no_label,27,0.00255179471596
0,LaF,BPN,0,0,no_label,28,0.00202484848762
0,LaF,BPN,0,0,no_label,29,0.00160682602896
0,LaF,BPN,0,0,no_label,30,NA
0,LaF,BPN,0,0,no_label,31,NA
0,LaF,BPN,0,0,no_label,32,NA
0,LaF,BPN,0,0,no_label,33,NA
0,LaF,BPN,0,0,no_label,34,NA
0,LaF,BPN,0,0,no_label,35,NA
0,LaF,BPN,0,0,no_label,36,NA
0,LaF,BPN,0,0,no_label,37,NA
0,LaF,BPN,0,0,no_label,38,NA
0,LaF,BPN,0,0,no_label,39,NA
0,LaF,BPN,0,0,no_label,40,NA
0,LaF,BPN,0,0,no_label,41,NA
0,LaF,BPN,0,0,no_label,42,NA
0,LaF,BPN,0,0,no_label,43,NA
0,LaF,BPN,0,0,no_label,44,NA
0,LaF,BPN,0,0,no_label,45,NA
0,LaF,BPN,0,0,no_label,46,NA
0,LaF,BPN,0,0,no_label,47,NA
0,LaF,BPN,0,0,no_label,48,NA
0,LaF,BPN,0,0,no_label,49,NA
0,LaF,BPN,0,0,no_label,50,NA
0,LaF,BPN,0,0,no_label,51,NA
0,LaF,BPN,0,0,no_label,52,NA
0,LaF,BPN,0,0,no_label,53,NA
0,LaF,BPN,0,0,no_label,54,NA
0,LaF,BPN,0,0,no_label,55,NA
0,LaF,BPN,0,0,no_label,56,NA
0,LaF,BPN,0,0,no_label,57,NA
0,LaF,BPN,0,0,no_label,58,NA
0,LaF,BPN,0,0,no_label,59,NA
0,LaF,BPN,0,0,no_label,60,NA
0,LaF,BPN,0,0,no_label,61,NA
0,LaF,BPN,0,0,no_label,62,NA
0,LaF,BPN,0,0,no_label,63,NA
0,LaF,BPN,0,0,no_label,64,NA
0,LaF,BPN,0,0,no_label,65,NA
0,LaF,BPN,0,0,no_label,66,NA
0,LaF,BPN,0,0,no_label,67,NA
0,LaF,BPN,0,0,no_label,68,NA
0,LaF,BPN,0,0,no_label,69,NA
0,LaF,BPN,0,0,no_label,70,NA
0,LaF,BPN,0,0,no_label,71,NA
0,LaF,BPN,0,0,no_label,72,NA
0,LaF,BPN,0,0,no_label,73,NA
0,LaF,BPN,0,0,no_label,74,NA
0,LaF,BPN,0,0,no_label,75,NA
0,LaF,BPN,0,0,no_label,76,NA
0,LaF,BPN,0,0,no_label,77,NA
0,LaF,BPN,0,0,no_label,78,NA
0,LaF,BPN,0,0,no_label,79,NA
0,LaF,BPN,0,0,no_label,80,NA
0,LaF,BPN,0,0,no_label,81,NA
0,LaF,BPN,0,0,no_label,82,NA
0,LaF,BPN,0,0,no_label,83,NA
0,LaF,BPN,0,0,no_label,84,NA
0,LaF,BPN,0,0,no_label,85,NA
0,LaF,BPN,0,0,no_label,86,NA
0,LaF,BPN,0,0,no_label,87,NA
