subject,model,explo_overlap,trial,labelled,looking_time
1,LaF,0.25,0,label,32
1,LaF,0.25,0,no_label,31
1,LaF,0.25,1,label,31
1,LaF,0.25,1,no_label,30
1,LaF,0.25,2,label,29
1,LaF,0.25,2,no_label,29
1,LaF,0.25,3,label,28
1,LaF,0.25,3,no_label,27
1,LaF,0.25,4,label,27
1,LaF,0.25,4,no_label,26
1,LaF,0.25,5,label,26
1,LaF,0.25,5,no_label,25
1,LaF,0.25,6,label,24
1,LaF,0.25,6,no_label,23
1,LaF,0.25,7,label,23
1,LaF,0.25,7,no_label,22
2,LaF,0.25,0,no_label,36
2,LaF,0.25,0,label,32
2,LaF,0.25,1,no_label,34
2,LaF,0.25,1,label,31
2,LaF,0.25,2,no_label,32
2,LaF,0.25,2,label,29
2,LaF,0.25,3,no_label,31
2,LaF,0.25,3,label,28
2,LaF,0.25,4,no_label,29
2,LaF,0.25,4,label,26
2,LaF,0.25,5,no_label,28
2,LaF,0.25,5,label,25
2,LaF,0.25,6,no_label,26
2,LaF,0.25,6,label,23
2,LaF,0.25,7,no_label,24
2,LaF,0.25,7,label,22
3,LaF,0.25,0,label,33
3,LaF,0.25,0,no_label,28
3,LaF,0.25,1,label,31
3,LaF,0.25,1,no_label,27
3,LaF,0.25,2,label,29
3,LaF,0.25,2,no_label,26
3,LaF,0.25,3,label,28
3,LaF,0.25,3,no_label,24
3,LaF,0.25,4,label,26
3,LaF,0.25,4,no_label,23
3,LaF,0.25,5,label,25
3,LaF,0.25,5,no_label,22
3,LaF,0.25,6,label,24
3,LaF,0.25,6,no_label,20
3,LaF,0.25,7,label,22
3,LaF,0.25,7,no_label,19
4,LaF,0.25,0,no_label,33
4,LaF,0.25,0,label,31
4,LaF,0.25,1,no_label,29
4,LaF,0.25,1,label,30
4,LaF,0.25,2,no_label,28
4,LaF,0.25,2,label,29
4,LaF,0.25,3,no_label,27
4,LaF,0.25,3,label,27
4,LaF,0.25,4,no_label,25
4,LaF,0.25,4,label,26
4,LaF,0.25,5,no_label,24
4,LaF,0.25,5,label,25
4,LaF,0.25,6,no_label,23
4,LaF,0.25,6,label,23
4,LaF,0.25,7,no_label,21
