subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,0,label,0,3.26214178946
1,LaF,0.25,0,label,1,0.976500307857
1,LaF,0.25,0,label,2,1.50681011564
1,LaF,0.25,0,label,3,0.807108388361
1,LaF,0.25,0,label,4,0.797511985586
1,LaF,0.25,0,label,5,0.536178651089
1,LaF,0.25,0,label,6,0.45783229615
1,LaF,0.25,0,label,7,0.335967373047
1,LaF,0.25,0,label,8,0.272470347632
1,LaF,0.25,0,label,9,0.206973725106
1,LaF,0.25,0,label,10,0.164601649578
1,LaF,0.25,0,label,11,0.126911341423
1,LaF,0.25,0,label,12,0.100122534396
1,LaF,0.25,0,label,13,0.0777529241898
1,LaF,0.25,0,label,14,0.0611278308336
1,LaF,0.25,0,label,15,0.0476536851375
1,LaF,0.25,0,label,16,0.0374076947969
1,LaF,0.25,0,label,17,0.0292281886812
1,LaF,0.25,0,label,18,0.0229298729312
1,LaF,0.25,0,label,19,0.0179418345905
1,LaF,0.25,0,label,20,0.0140731601533
1,LaF,0.25,0,label,21,0.0110224772886
1,LaF,0.25,0,label,22,0.00864613012629
1,LaF,0.25,0,label,23,0.00677658617096
1,LaF,0.25,0,label,24,0.00531637080284
1,LaF,0.25,0,label,25,0.00416898056443
1,LaF,0.25,0,label,26,0.00327125647408
1,LaF,0.25,0,label,27,0.0025662809966
1,LaF,0.25,0,label,28,0.00201407113335
1,LaF,0.25,0,label,29,0.001580536909
1,LaF,0.25,0,label,30,0.00124067989753
1,LaF,0.25,0,label,31,0.000973878678386
1,LaF,0.25,0,no_label,0,2.07540441471
1,LaF,0.25,0,no_label,1,0.796204007746
1,LaF,0.25,0,no_label,2,0.956105054664
1,LaF,0.25,0,no_label,3,0.610138896455
1,LaF,0.25,0,no_label,4,0.531816280977
1,LaF,0.25,0,no_label,5,0.392100195187
1,LaF,0.25,0,no_label,6,0.315645727317
1,LaF,0.25,0,no_label,7,0.242227799337
1,LaF,0.25,0,no_label,8,0.190856433443
1,LaF,0.25,0,no_label,9,0.148166490241
1,LaF,0.25,0,no_label,10,0.116040185603
1,LaF,0.25,0,no_label,11,0.0904260921624
1,LaF,0.25,0,no_label,12,0.0707039603286
1,LaF,0.25,0,no_label,13,0.0551838196156
1,LaF,0.25,0,no_label,14,0.0431369769571
1,LaF,0.25,0,no_label,15,0.0336984523794
1,LaF,0.25,0,no_label,16,0.0263474927278
1,LaF,0.25,0,no_label,17,0.0205965593601
1,LaF,0.25,0,no_label,18,0.0161098121629
1,LaF,0.25,0,no_label,19,0.0126009302039
1,LaF,0.25,0,no_label,20,0.0098603700887
1,LaF,0.25,0,no_label,21,0.00771689466232
1,LaF,0.25,0,no_label,22,0.00604139524074
1,LaF,0.25,0,no_label,23,0.00473054098216
1,LaF,0.25,0,no_label,24,0.00370518708627
1,LaF,0.25,0,no_label,25,0.00290266763671
1,LaF,0.25,0,no_label,26,0.0022745611487
1,LaF,0.25,0,no_label,27,0.00178274327202
1,LaF,0.25,0,no_label,28,0.00139760417154
1,LaF,0.25,0,no_label,29,0.00109589837736
1,LaF,0.25,0,no_label,30,0.000859515414547
1,LaF,0.25,1,label,0,1.73708041863
1,LaF,0.25,1,label,1,0.676537900864
1,LaF,0.25,1,label,2,0.801149915674
1,LaF,0.25,1,label,3,0.520682197829
1,LaF,0.25,1,label,4,0.45000259792
1,LaF,0.25,1,label,5,0.335968888147
1,LaF,0.25,1,label,6,0.269849531809
1,LaF,0.25,1,label,7,0.208786717248
1,LaF,0.25,1,label,8,0.164699101731
1,LaF,0.25,1,label,9,0.128615430267
1,LaF,0.25,1,label,10,0.10099824937
1,LaF,0.25,1,label,11,0.0790777290591
1,LaF,0.25,1,label,12,0.0620298924387
1,LaF,0.25,1,label,13,0.0486118053214
1,LaF,0.25,1,label,14,0.0381255586261
1,LaF,0.25,1,label,15,0.0298922452227
1,LaF,0.25,1,label,16,0.0234464382548
1,LaF,0.25,1,label,17,0.0183891453637
1,LaF,0.25,1,label,18,0.0144264697824
1,LaF,0.25,1,label,19,0.0113178921234
1,LaF,0.25,1,label,20,0.00888087417025
1,LaF,0.25,1,label,21,0.00696901479636
1,LaF,0.25,1,label,22,0.00546960350149
1,LaF,0.25,1,label,23,0.00429313567765
1,LaF,0.25,1,label,24,0.00337017499611
1,LaF,0.25,1,label,25,0.00264587059867
1,LaF,0.25,1,label,26,0.00207748228287
1,LaF,0.25,1,label,27,0.0016313450097
1,LaF,0.25,1,label,28,0.00128115663927
1,LaF,0.25,1,label,29,0.00100623277695
1,LaF,0.25,1,label,30,0.000790385662263
1,LaF,0.25,1,no_label,0,1.48023884632
1,LaF,0.25,1,no_label,1,0.592299968481
1,LaF,0.25,1,no_label,2,0.683754092236
1,LaF,0.25,1,no_label,3,0.449110019789
1,LaF,0.25,1,no_label,4,0.385439570305
1,LaF,0.25,1,no_label,5,0.288048394423
1,LaF,0.25,1,no_label,6,0.230969853735
1,LaF,0.25,1,no_label,7,0.178406169427
1,LaF,0.25,1,no_label,8,0.140640447359
1,LaF,0.25,1,no_label,9,0.109602126264
1,LaF,0.25,1,no_label,10,0.0860133973191
1,LaF,0.25,1,no_label,11,0.0672167897111
1,LaF,0.25,1,no_label,12,0.0526868335889
1,LaF,0.25,1,no_label,13,0.0412205910836
1,LaF,0.25,1,no_label,14,0.0323019746947
1,LaF,0.25,1,no_label,15,0.0252892295885
1,LaF,0.25,1,no_label,16,0.0198188134894
1,LaF,0.25,1,no_label,17,0.0155240643496
1,LaF,0.25,1,no_label,18,0.0121682349812
1,LaF,0.25,1,no_label,19,0.0095354801307
1,LaF,0.25,1,no_label,20,0.00747597748616
1,LaF,0.25,1,no_label,21,0.00586070312626
1,LaF,0.25,1,no_label,22,0.00459609315254
1,LaF,0.25,1,no_label,23,0.00360431631301
1,LaF,0.25,1,no_label,24,0.00282735063088
1,LaF,0.25,1,no_label,25,0.00221796635665
1,LaF,0.25,1,no_label,26,0.00174032282413
1,LaF,0.25,1,no_label,27,0.00136564320484
1,LaF,0.25,1,no_label,28,0.00107183645515
1,LaF,0.25,1,no_label,29,0.000841318485657
1,LaF,0.25,2,label,0,1.26255772024
1,LaF,0.25,2,label,1,0.504743607657
1,LaF,0.25,2,label,2,0.584125134103
1,LaF,0.25,2,label,3,0.385138562486
1,LaF,0.25,2,label,4,0.330655629817
1,LaF,0.25,2,label,5,0.248195406015
1,LaF,0.25,2,label,6,0.199265355292
1,LaF,0.25,2,label,7,0.15452864481
1,LaF,0.25,2,label,8,0.122067300566
1,LaF,0.25,2,label,9,0.0954705053674
1,LaF,0.25,2,label,10,0.0751057585872
1,LaF,0.25,2,label,11,0.0588893740922
1,LaF,0.25,2,label,12,0.0462783864588
1,LaF,0.25,2,label,13,0.0363208043138
1,LaF,0.25,2,label,14,0.0285360895904
1,LaF,0.25,2,label,15,0.0224071176457
1,LaF,0.25,2,label,16,0.0176048769748
1,LaF,0.25,2,label,17,0.0138282937763
1,LaF,0.25,2,label,18,0.0108658073707
1,LaF,0.25,2,label,19,0.0085371023976
1,LaF,0.25,2,label,20,0.00670910855132
1,LaF,0.25,2,label,21,0.00527240878702
1,LaF,0.25,2,label,22,0.00414409293134
1,LaF,0.25,2,label,23,0.00325730593009
1,LaF,0.25,2,label,24,0.00256062517176
1,LaF,0.25,2,label,25,0.00201303859319
1,LaF,0.25,2,label,26,0.00158272536045
1,LaF,0.25,2,label,27,0.00124446514333
1,LaF,0.25,2,label,28,0.000978588635997
1,LaF,0.25,2,no_label,0,1.08573023685
1,LaF,0.25,2,no_label,1,0.435799587387
1,LaF,0.25,2,no_label,2,0.501433931021
1,LaF,0.25,2,no_label,3,0.329799133078
1,LaF,0.25,2,no_label,4,0.283083075944
1,LaF,0.25,2,no_label,5,0.211485560401
1,LaF,0.25,2,no_label,6,0.169819282902
1,LaF,0.25,2,no_label,7,0.131113068735
1,LaF,0.25,2,no_label,8,0.103524777641
1,LaF,0.25,2,no_label,9,0.0806644921407
1,LaF,0.25,2,no_label,10,0.0633973458868
1,LaF,0.25,2,no_label,11,0.0495492242117
1,LaF,0.25,2,no_label,12,0.0388882325749
1,LaF,0.25,2,no_label,13,0.0304347951789
1,LaF,0.25,2,no_label,14,0.0238759854389
1,LaF,0.25,2,no_label,15,0.0187006158532
1,LaF,0.25,2,no_label,16,0.0146690947165
1,LaF,0.25,2,no_label,17,0.0114957840304
1,LaF,0.25,2,no_label,18,0.00901789143974
1,LaF,0.25,2,no_label,19,0.00707012853958
1,LaF,0.25,2,no_label,20,0.00554681131154
1,LaF,0.25,2,no_label,21,0.00435030289498
1,LaF,0.25,2,no_label,22,0.00341351058842
1,LaF,0.25,2,no_label,23,0.00267798824432
1,LaF,0.25,2,no_label,24,0.00210166867699
1,LaF,0.25,2,no_label,25,0.00164925176407
1,LaF,0.25,2,no_label,26,0.00129455339683
1,LaF,0.25,2,no_label,27,0.0010161226619
1,LaF,0.25,2,no_label,28,0.000797732783831
1,LaF,0.25,3,label,0,0.926097414101
1,LaF,0.25,3,label,1,0.373122259204
1,LaF,0.25,3,label,2,0.428800936387
1,LaF,0.25,3,label,3,0.283636548157
1,LaF,0.25,3,label,4,0.243225361265
1,LaF,0.25,3,label,5,0.182670708914
1,LaF,0.25,3,label,6,0.146736778188
1,LaF,0.25,3,label,7,0.113803916977
1,LaF,0.25,3,label,8,0.0899714437152
1,LaF,0.25,3,label,9,0.0703820735996
1,LaF,0.25,3,label,10,0.055412843962
1,LaF,0.25,3,label,11,0.0434639365378
1,LaF,0.25,3,label,12,0.034181033359
1,LaF,0.25,3,label,13,0.0268387998161
1,LaF,0.25,3,label,14,0.0211005180608
1,LaF,0.25,3,label,15,0.0165771542306
1,LaF,0.25,3,label,16,0.013032583988
1,LaF,0.25,3,label,17,0.0102424045624
1,LaF,0.25,3,label,18,0.00805295647816
1,LaF,0.25,3,label,19,0.0063305500685
1,LaF,0.25,3,label,20,0.00497787861923
1,LaF,0.25,3,label,21,0.00391401888265
1,LaF,0.25,3,label,22,0.00307808999281
1,LaF,0.25,3,label,23,0.00242068665768
1,LaF,0.25,3,label,24,0.00190394283969
1,LaF,0.25,3,label,25,0.00149754679976
1,LaF,0.25,3,label,26,0.00117801769729
1,LaF,0.25,3,label,27,0.000926703330057
1,LaF,0.25,3,no_label,0,0.796640988625
1,LaF,0.25,3,no_label,1,0.318509966693
1,LaF,0.25,3,no_label,2,0.367629383777
1,LaF,0.25,3,no_label,3,0.241179056491
1,LaF,0.25,3,no_label,4,0.207388187155
1,LaF,0.25,3,no_label,5,0.1547106671
1,LaF,0.25,3,no_label,6,0.124374013538
1,LaF,0.25,3,no_label,7,0.0959602815842
1,LaF,0.25,3,no_label,8,0.0758296626458
1,LaF,0.25,3,no_label,9,0.0590699897268
1,LaF,0.25,3,no_label,10,0.0464533192583
1,LaF,0.25,3,no_label,11,0.0363053386466
1,LaF,0.25,3,no_label,12,0.028507332352
1,LaF,0.25,3,no_label,13,0.022312351474
1,LaF,0.25,3,no_label,14,0.017510573797
1,LaF,0.25,3,no_label,15,0.0137167717773
1,LaF,0.25,3,no_label,16,0.0107629461219
1,LaF,0.25,3,no_label,17,0.00843582129526
1,LaF,0.25,3,no_label,18,0.00661908600079
1,LaF,0.25,3,no_label,19,0.00519009993151
1,LaF,0.25,3,no_label,20,0.00407259488117
1,LaF,0.25,3,no_label,21,0.00319441719248
1,LaF,0.25,3,no_label,22,0.0025068581082
1,LaF,0.25,3,no_label,23,0.00196683186848
1,LaF,0.25,3,no_label,24,0.00154368050413
1,LaF,0.25,3,no_label,25,0.0012114184728
1,LaF,0.25,3,no_label,26,0.000950913599249
1,LaF,0.25,4,label,0,0.676843649307
1,LaF,0.25,4,label,1,0.27353766329
1,LaF,0.25,4,label,2,0.313406948541
1,LaF,0.25,4,label,3,0.20762427496
1,LaF,0.25,4,label,4,0.177918695651
1,LaF,0.25,4,label,5,0.133685277243
1,LaF,0.25,4,label,6,0.107391610654
1,LaF,0.25,4,label,7,0.083309539844
1,LaF,0.25,4,label,8,0.0658764902424
1,LaF,0.25,4,label,9,0.0515454927936
1,LaF,0.25,4,label,10,0.0405920729293
1,LaF,0.25,4,label,11,0.0318470633025
1,LaF,0.25,4,label,12,0.0250512706246
1,LaF,0.25,4,label,13,0.0196752191774
1,LaF,0.25,4,label,14,0.0154722351682
1,LaF,0.25,4,label,15,0.012158500829
1,LaF,0.25,4,label,16,0.00956096725895
1,LaF,0.25,4,label,17,0.00751586714833
