subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,0,label,0,2.63667595
1,LaF,0.25,0,label,1,0.223981319001
1,LaF,0.25,0,label,2,1.21530874216
1,LaF,0.25,0,label,3,0.162815832907
1,LaF,0.25,0,label,4,0.589513114326
1,LaF,0.25,0,label,5,0.0920120555377
1,LaF,0.25,0,label,6,0.297804693674
1,LaF,0.25,0,label,7,0.0515269844145
1,LaF,0.25,0,label,8,0.155389823175
1,LaF,0.25,0,label,9,0.0318580520605
1,LaF,0.25,0,label,10,0.0834642696589
1,LaF,0.25,0,label,11,0.0215921971089
1,LaF,0.25,0,label,12,0.046095934559
1,LaF,0.25,0,label,13,0.0151204719554
1,LaF,0.25,0,label,14,0.0261510662681
1,LaF,0.25,0,label,15,0.0105529344102
1,LaF,0.25,0,label,16,0.0152127066142
1,LaF,0.25,0,label,17,0.00726122259116
1,LaF,0.25,0,label,18,0.00904892777395
1,LaF,0.25,0,label,19,0.00492330912189
1,LaF,0.25,0,label,20,0.00548462276367
1,LaF,0.25,0,label,21,0.00329712714141
1,LaF,0.25,0,label,22,0.00337496988648
1,LaF,0.25,0,label,23,0.00218677566418
1,LaF,0.25,0,label,24,0.0021013579087
1,LaF,0.25,0,label,25,0.0014396605155
1,LaF,0.25,0,label,26,0.00132006164208
1,LaF,0.25,0,label,27,0.000942524000146
1,LaF,0.25,0,label,28,0.000834758047398
1,LaF,0.25,0,label,29,0.000614476992121
1,LaF,0.25,0,label,30,0.000530443244791
1,LaF,0.25,0,label,31,0.000399352526447
1,LaF,0.25,0,label,32,0.000338268091496
1,LaF,0.25,0,label,33,0.000258933344125
1,LaF,0.25,0,label,34,0.000216276298355
1,LaF,0.25,0,label,35,0.000167593601578
1,LaF,0.25,0,label,36,0.000138540766993
1,LaF,0.25,0,label,37,0.000108332147675
1,LaF,0.25,0,label,38,8.88679740883e-05
1,LaF,0.25,0,label,39,6.99571064648e-05
1,LaF,0.25,0,label,40,5.70625206862e-05
1,LaF,0.25,0,label,41,4.51428204308e-05
1,LaF,0.25,0,label,42,3.66671810788e-05
1,LaF,0.25,0,label,43,2.91144453878e-05
1,LaF,0.25,0,label,44,2.35743494916e-05
1,LaF,0.25,0,label,45,1.87694519653e-05
1,LaF,0.25,0,label,46,1.51626560487e-05
1,LaF,0.25,0,label,47,1.20965888708e-05
1,LaF,0.25,0,label,48,9.75525586701e-06
1,LaF,0.25,0,no_label,0,2.2951699271
1,LaF,0.25,0,no_label,1,0.164607659281
1,LaF,0.25,0,no_label,2,1.2043142582
1,LaF,0.25,0,no_label,3,0.168780500361
1,LaF,0.25,0,no_label,4,0.664549987335
1,LaF,0.25,0,no_label,5,0.159132532053
1,LaF,0.25,0,no_label,6,0.38965344068
1,LaF,0.25,0,no_label,7,0.142314090718
1,LaF,0.25,0,no_label,8,0.244206416388
1,LaF,0.25,0,no_label,9,0.122734276263
1,LaF,0.25,0,no_label,10,0.164507055738
1,LaF,0.25,0,no_label,11,0.104039939344
1,LaF,0.25,0,no_label,12,0.118979208777
1,LaF,0.25,0,no_label,13,0.0877784713932
1,LaF,0.25,0,no_label,14,0.0913767897601
1,LaF,0.25,0,no_label,15,0.0741669939156
