subject,model,explo_overlap,trial,labelled,looking_time
1,LaF,0.25,0,label,49
1,LaF,0.25,0,no_label,100
1,LaF,0.25,1,label,40
1,LaF,0.25,1,no_label,100
1,LaF,0.25,2,label,41
1,LaF,0.25,2,no_label,100
1,LaF,0.25,3,label,43
1,LaF,0.25,3,no_label,100
1,LaF,0.25,4,label,44
1,LaF,0.25,4,no_label,100
1,LaF,0.25,5,label,42
1,LaF,0.25,5,no_label,100
1,LaF,0.25,6,label,40
1,LaF,0.25,6,no_label,100
1,LaF,0.25,7,label,36
1,LaF,0.25,7,no_label,100
2,LaF,0.25,0,no_label,44
2,LaF,0.25,0,label,50
2,LaF,0.25,1,no_label,38
2,LaF,0.25,1,label,50
2,LaF,0.25,2,no_label,40
2,LaF,0.25,2,label,60
2,LaF,0.25,3,no_label,42
2,LaF,0.25,3,label,68
2,LaF,0.25,4,no_label,42
2,LaF,0.25,4,label,72
2,LaF,0.25,5,no_label,40
2,LaF,0.25,5,label,70
2,LaF,0.25,6,no_label,37
2,LaF,0.25,6,label,66
2,LaF,0.25,7,no_label,34
2,LaF,0.25,7,label,60
3,LaF,0.25,0,label,44
3,LaF,0.25,0,no_label,50
3,LaF,0.25,1,label,40
3,LaF,0.25,1,no_label,54
3,LaF,0.25,2,label,49
3,LaF,0.25,2,no_label,72
3,LaF,0.25,3,label,57
3,LaF,0.25,3,no_label,94
3,LaF,0.25,4,label,61
3,LaF,0.25,4,no_label,100
3,LaF,0.25,5,label,60
3,LaF,0.25,5,no_label,100
3,LaF,0.25,6,label,57
3,LaF,0.25,6,no_label,100
3,LaF,0.25,7,label,52
3,LaF,0.25,7,no_label,100
4,LaF,0.25,0,no_label,49
4,LaF,0.25,0,label,62
4,LaF,0.25,1,no_label,38
4,LaF,0.25,1,label,60
4,LaF,0.25,2,no_label,40
4,LaF,0.25,2,label,68
4,LaF,0.25,3,no_label,44
4,LaF,0.25,3,label,78
4,LaF,0.25,4,no_label,46
4,LaF,0.25,4,label,85
4,LaF,0.25,5,no_label,45
4,LaF,0.25,5,label,85
4,LaF,0.25,6,no_label,43
4,LaF,0.25,6,label,81
4,LaF,0.25,7,no_label,39
4,LaF,0.25,7,label,74
5,LaF,0.25,0,label,38
5,LaF,0.25,0,no_label,42
5,LaF,0.25,1,label,37
5,LaF,0.25,1,no_label,54
5,LaF,0.25,2,label,36
5,LaF,0.25,2,no_label,71
5,LaF,0.25,3,label,38
5,LaF,0.25,3,no_label,83
5,LaF,0.25,4,label,38
5,LaF,0.25,4,no_label,87
5,LaF,0.25,5,label,36
5,LaF,0.25,5,no_label,84
5,LaF,0.25,6,label,33
5,LaF,0.25,6,no_label,77
5,LaF,0.25,7,label,30
5,LaF,0.25,7,no_label,68
6,LaF,0.25,0,no_label,36
6,LaF,0.25,0,label,40
6,LaF,0.25,1,no_label,37
6,LaF,0.25,1,label,50
6,LaF,0.25,2,no_label,40
6,LaF,0.25,2,label,67
6,LaF,0.25,3,no_label,44
6,LaF,0.25,3,label,84
6,LaF,0.25,4,no_label,46
6,LaF,0.25,4,label,94
6,LaF,0.25,5,no_label,45
6,LaF,0.25,5,label,94
6,LaF,0.25,6,no_label,42
6,LaF,0.25,6,label,89
6,LaF,0.25,7,no_label,38
6,LaF,0.25,7,label,82
7,LaF,0.25,0,label,59
7,LaF,0.25,0,no_label,46
7,LaF,0.25,1,label,45
7,LaF,0.25,1,no_label,50
7,LaF,0.25,2,label,52
7,LaF,0.25,2,no_label,58
7,LaF,0.25,3,label,59
7,LaF,0.25,3,no_label,63
7,LaF,0.25,4,label,63
7,LaF,0.25,4,no_label,63
7,LaF,0.25,5,label,62
7,LaF,0.25,5,no_label,60
7,LaF,0.25,6,label,58
7,LaF,0.25,6,no_label,56
7,LaF,0.25,7,label,53
7,LaF,0.25,7,no_label,50
8,LaF,0.25,0,no_label,44
8,LaF,0.25,0,label,45
8,LaF,0.25,1,no_label,38
8,LaF,0.25,1,label,41
8,LaF,0.25,2,no_label,42
8,LaF,0.25,2,label,43
8,LaF,0.25,3,no_label,47
8,LaF,0.25,3,label,45
8,LaF,0.25,4,no_label,50
8,LaF,0.25,4,label,46
8,LaF,0.25,5,no_label,51
8,LaF,0.25,5,label,45
8,LaF,0.25,6,no_label,50
8,LaF,0.25,6,label,42
8,LaF,0.25,7,no_label,47
8,LaF,0.25,7,label,39
9,LaF,0.375,0,label,50
9,LaF,0.375,0,no_label,63
9,LaF,0.375,1,label,38
9,LaF,0.375,1,no_label,44
9,LaF,0.375,2,label,41
9,LaF,0.375,2,no_label,54
9,LaF,0.375,3,label,44
9,LaF,0.375,3,no_label,63
9,LaF,0.375,4,label,45
9,LaF,0.375,4,no_label,68
9,LaF,0.375,5,label,44
9,LaF,0.375,5,no_label,68
9,LaF,0.375,6,label,41
9,LaF,0.375,6,no_label,64
9,LaF,0.375,7,label,38
9,LaF,0.375,7,no_label,59
10,LaF,0.375,0,no_label,40
10,LaF,0.375,0,label,42
10,LaF,0.375,1,no_label,40
10,LaF,0.375,1,label,47
10,LaF,0.375,2,no_label,47
10,LaF,0.375,2,label,55
10,LaF,0.375,3,no_label,52
10,LaF,0.375,3,label,60
10,LaF,0.375,4,no_label,53
10,LaF,0.375,4,label,60
10,LaF,0.375,5,no_label,51
10,LaF,0.375,5,label,57
10,LaF,0.375,6,no_label,47
10,LaF,0.375,6,label,52
10,LaF,0.375,7,no_label,42
10,LaF,0.375,7,label,46
11,LaF,0.375,0,label,59
11,LaF,0.375,0,no_label,38
11,LaF,0.375,1,label,43
11,LaF,0.375,1,no_label,36
11,LaF,0.375,2,label,48
11,LaF,0.375,2,no_label,44
11,LaF,0.375,3,label,51
11,LaF,0.375,3,no_label,48
11,LaF,0.375,4,label,52
11,LaF,0.375,4,no_label,50
11,LaF,0.375,5,label,51
11,LaF,0.375,5,no_label,48
11,LaF,0.375,6,label,48
11,LaF,0.375,6,no_label,45
11,LaF,0.375,7,label,44
11,LaF,0.375,7,no_label,41
12,LaF,0.375,0,no_label,54
12,LaF,0.375,0,label,60
12,LaF,0.375,1,no_label,53
12,LaF,0.375,1,label,61
12,LaF,0.375,2,no_label,61
12,LaF,0.375,2,label,72
12,LaF,0.375,3,no_label,67
12,LaF,0.375,3,label,82
12,LaF,0.375,4,no_label,69
12,LaF,0.375,4,label,85
12,LaF,0.375,5,no_label,66
12,LaF,0.375,5,label,83
12,LaF,0.375,6,no_label,61
12,LaF,0.375,6,label,76
12,LaF,0.375,7,no_label,55
12,LaF,0.375,7,label,69
13,LaF,0.375,0,label,54
13,LaF,0.375,0,no_label,38
13,LaF,0.375,1,label,47
13,LaF,0.375,1,no_label,40
13,LaF,0.375,2,label,50
13,LaF,0.375,2,no_label,45
13,LaF,0.375,3,label,55
13,LaF,0.375,3,no_label,49
13,LaF,0.375,4,label,58
13,LaF,0.375,4,no_label,49
13,LaF,0.375,5,label,57
13,LaF,0.375,5,no_label,47
