subject,theory,explo_overlap,trial,labelled,looking_time
0,LaF,0.25,0,no_label,30
0,LaF,0.25,0,label,29
0,LaF,0.25,1,no_label,31
0,LaF,0.25,1,label,26
0,LaF,0.25,2,no_label,28
0,LaF,0.25,2,label,24
0,LaF,0.25,3,no_label,26
0,LaF,0.25,3,label,22
0,LaF,0.25,4,no_label,24
0,LaF,0.25,4,label,20
0,LaF,0.25,5,no_label,21
0,LaF,0.25,5,label,18
0,LaF,0.25,6,no_label,19
0,LaF,0.25,6,label,16
0,LaF,0.25,7,no_label,17
0,LaF,0.25,7,label,14
1,CR,0.25,0,no_label,30
1,CR,0.25,0,label,31
1,CR,0.25,1,no_label,28
1,CR,0.25,1,label,28
1,CR,0.25,2,no_label,25
1,CR,0.25,2,label,26
1,CR,0.25,3,no_label,23
1,CR,0.25,3,label,23
1,CR,0.25,4,no_label,20
1,CR,0.25,4,label,20
1,CR,0.25,5,no_label,18
1,CR,0.25,5,label,18
1,CR,0.25,6,no_label,15
1,CR,0.25,6,label,15
1,CR,0.25,7,no_label,13
1,CR,0.25,7,label,13
2,LaF,0.25,0,label,29
2,LaF,0.25,0,no_label,31
2,LaF,0.25,1,label,27
2,LaF,0.25,1,no_label,29
2,LaF,0.25,2,label,25
2,LaF,0.25,2,no_label,27
2,LaF,0.25,3,label,23
2,LaF,0.25,3,no_label,24
2,LaF,0.25,4,label,21
2,LaF,0.25,4,no_label,22
2,LaF,0.25,5,label,19
2,LaF,0.25,5,no_label,19
2,LaF,0.25,6,label,17
2,LaF,0.25,6,no_label,17
2,LaF,0.25,7,label,15
2,LaF,0.25,7,no_label,15
3,CR,0.25,0,label,32
3,CR,0.25,0,no_label,29
3,CR,0.25,1,label,29
3,CR,0.25,1,no_label,26
3,CR,0.25,2,label,27
3,CR,0.25,2,no_label,24
3,CR,0.25,3,label,24
3,CR,0.25,3,no_label,21
3,CR,0.25,4,label,21
3,CR,0.25,4,no_label,19
3,CR,0.25,5,label,19
3,CR,0.25,5,no_label,16
3,CR,0.25,6,label,16
3,CR,0.25,6,no_label,14
3,CR,0.25,7,label,14
3,CR,0.25,7,no_label,12
4,LaF,0.25,0,no_label,33
4,LaF,0.25,0,label,29
4,LaF,0.25,1,no_label,31
4,LaF,0.25,1,label,27
4,LaF,0.25,2,no_label,28
4,LaF,0.25,2,label,24
4,LaF,0.25,3,no_label,26
4,LaF,0.25,3,label,21
4,LaF,0.25,4,no_label,23
4,LaF,0.25,4,label,19
4,LaF,0.25,5,no_label,20
4,LaF,0.25,5,label,17
4,LaF,0.25,6,no_label,18
4,LaF,0.25,6,label,14
4,LaF,0.25,7,no_label,15
4,LaF,0.25,7,label,12
5,CR,0.25,0,no_label,35
5,CR,0.25,0,label,32
5,CR,0.25,1,no_label,31
5,CR,0.25,1,label,29
5,CR,0.25,2,no_label,28
5,CR,0.25,2,label,26
5,CR,0.25,3,no_label,25
5,CR,0.25,3,label,23
5,CR,0.25,4,no_label,22
5,CR,0.25,4,label,20
5,CR,0.25,5,no_label,19
5,CR,0.25,5,label,17
5,CR,0.25,6,no_label,16
5,CR,0.25,6,label,15
5,CR,0.25,7,no_label,13
5,CR,0.25,7,label,12
6,LaF,0.25,0,label,30
6,LaF,0.25,0,no_label,27
6,LaF,0.25,1,label,24
6,LaF,0.25,1,no_label,24
6,LaF,0.25,2,label,22
6,LaF,0.25,2,no_label,22
6,LaF,0.25,3,label,20
6,LaF,0.25,3,no_label,20
6,LaF,0.25,4,label,18
6,LaF,0.25,4,no_label,17
6,LaF,0.25,5,label,15
6,LaF,0.25,5,no_label,15
6,LaF,0.25,6,label,13
6,LaF,0.25,6,no_label,13
6,LaF,0.25,7,label,11
6,LaF,0.25,7,no_label,10
7,CR,0.25,0,label,33
7,CR,0.25,0,no_label,31
7,CR,0.25,1,label,31
7,CR,0.25,1,no_label,28
7,CR,0.25,2,label,28
7,CR,0.25,2,no_label,25
7,CR,0.25,3,label,25
7,CR,0.25,3,no_label,23
7,CR,0.25,4,label,22
7,CR,0.25,4,no_label,20
7,CR,0.25,5,label,19
7,CR,0.25,5,no_label,17
7,CR,0.25,6,label,16
7,CR,0.25,6,no_label,14
7,CR,0.25,7,label,13
7,CR,0.25,7,no_label,12
8,LaF,0.25,0,no_label,35
8,LaF,0.25,0,label,38
8,LaF,0.25,1,no_label,33
8,LaF,0.25,1,label,33
8,LaF,0.25,2,no_label,29
8,LaF,0.25,2,label,28
8,LaF,0.25,3,no_label,25
8,LaF,0.25,3,label,25
8,LaF,0.25,4,no_label,22
8,LaF,0.25,4,label,21
8,LaF,0.25,5,no_label,18
8,LaF,0.25,5,label,18
8,LaF,0.25,6,no_label,15
8,LaF,0.25,6,label,14
8,LaF,0.25,7,no_label,12
8,LaF,0.25,7,label,11
9,CR,0.25,0,no_label,38
9,CR,0.25,0,label,34
9,CR,0.25,1,no_label,34
9,CR,0.25,1,label,31
9,CR,0.25,2,no_label,31
9,CR,0.25,2,label,28
9,CR,0.25,3,no_label,28
9,CR,0.25,3,label,25
9,CR,0.25,4,no_label,24
