"subject","theory","model","explo_overlap","trial","labelled","looking_time","experiment","fit"
1,"Labels as Features","DMN","0.25",0,"no_label",35,"SingleObject",40.2086975040602
1,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
1,"Labels as Features","DMN","0.25",1,"no_label",33,"SingleObject",37.4766636148451
1,"Labels as Features","DMN","0.25",1,"label",38,"SingleObject",38.4003126570057
1,"Labels as Features","DMN","0.25",2,"no_label",31,"SingleObject",34.74462972563
1,"Labels as Features","DMN","0.25",2,"label",35,"SingleObject",35.7090353797006
1,"Labels as Features","DMN","0.25",3,"no_label",29,"SingleObject",32.0125958364149
1,"Labels as Features","DMN","0.25",3,"label",33,"SingleObject",33.0177581023954
1,"Labels as Features","DMN","0.25",4,"no_label",27,"SingleObject",29.2805619471999
1,"Labels as Features","DMN","0.25",4,"label",30,"SingleObject",30.3264808250903
1,"Labels as Features","DMN","0.25",5,"no_label",25,"SingleObject",26.5485280579848
1,"Labels as Features","DMN","0.25",5,"label",28,"SingleObject",27.6352035477852
1,"Labels as Features","DMN","0.25",6,"no_label",23,"SingleObject",23.8164941687697
1,"Labels as Features","DMN","0.25",6,"label",26,"SingleObject",24.9439262704801
1,"Labels as Features","DMN","0.25",7,"no_label",21,"SingleObject",21.0844602795546
1,"Labels as Features","DMN","0.25",7,"label",23,"SingleObject",22.252648993175
3,"Compound Representations","DMN","0.25",0,"no_label",40,"SingleObject",41.3782066276583
3,"Compound Representations","DMN","0.25",0,"label",40,"SingleObject",41.3782066276583
3,"Compound Representations","DMN","0.25",1,"no_label",40,"SingleObject",38.6461727384432
3,"Compound Representations","DMN","0.25",1,"label",37,"SingleObject",38.6869293503532
3,"Compound Representations","DMN","0.25",2,"no_label",39,"SingleObject",35.9141388492281
3,"Compound Representations","DMN","0.25",2,"label",35,"SingleObject",35.9956520730481
3,"Compound Representations","DMN","0.25",3,"no_label",36,"SingleObject",33.182104960013
3,"Compound Representations","DMN","0.25",3,"label",32,"SingleObject",33.304374795743
3,"Compound Representations","DMN","0.25",4,"no_label",33,"SingleObject",30.450071070798
3,"Compound Representations","DMN","0.25",4,"label",29,"SingleObject",30.6130975184379
3,"Compound Representations","DMN","0.25",5,"no_label",30,"SingleObject",27.7180371815829
3,"Compound Representations","DMN","0.25",5,"label",27,"SingleObject",27.9218202411327
3,"Compound Representations","DMN","0.25",6,"no_label",27,"SingleObject",24.9860032923678
3,"Compound Representations","DMN","0.25",6,"label",24,"SingleObject",25.2305429638276
3,"Compound Representations","DMN","0.25",7,"no_label",25,"SingleObject",22.2539694031527
3,"Compound Representations","DMN","0.25",7,"label",22,"SingleObject",22.5392656865225
5,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
5,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
5,"Labels as Features","DMN","0.25",1,"label",40,"SingleObject",38.4003126570057
5,"Labels as Features","DMN","0.25",1,"no_label",39,"SingleObject",37.4766636148451
5,"Labels as Features","DMN","0.25",2,"label",39,"SingleObject",35.7090353797006
5,"Labels as Features","DMN","0.25",2,"no_label",36,"SingleObject",34.74462972563
5,"Labels as Features","DMN","0.25",3,"label",36,"SingleObject",33.0177581023954
5,"Labels as Features","DMN","0.25",3,"no_label",33,"SingleObject",32.0125958364149
5,"Labels as Features","DMN","0.25",4,"label",33,"SingleObject",30.3264808250903
5,"Labels as Features","DMN","0.25",4,"no_label",30,"SingleObject",29.2805619471999
5,"Labels as Features","DMN","0.25",5,"label",30,"SingleObject",27.6352035477852
5,"Labels as Features","DMN","0.25",5,"no_label",27,"SingleObject",26.5485280579848
5,"Labels as Features","DMN","0.25",6,"label",27,"SingleObject",24.9439262704801
5,"Labels as Features","DMN","0.25",6,"no_label",25,"SingleObject",23.8164941687697
5,"Labels as Features","DMN","0.25",7,"label",24,"SingleObject",22.252648993175
5,"Labels as Features","DMN","0.25",7,"no_label",22,"SingleObject",21.0844602795546
7,"Compound Representations","DMN","0.25",0,"label",40,"SingleObject",41.3782066276583
7,"Compound Representations","DMN","0.25",0,"no_label",40,"SingleObject",41.3782066276583
7,"Compound Representations","DMN","0.25",1,"label",40,"SingleObject",38.6869293503532
7,"Compound Representations","DMN","0.25",1,"no_label",39,"SingleObject",38.6461727384432
7,"Compound Representations","DMN","0.25",2,"label",39,"SingleObject",35.9956520730481
7,"Compound Representations","DMN","0.25",2,"no_label",36,"SingleObject",35.9141388492281
7,"Compound Representations","DMN","0.25",3,"label",36,"SingleObject",33.304374795743
7,"Compound Representations","DMN","0.25",3,"no_label",33,"SingleObject",33.182104960013
7,"Compound Representations","DMN","0.25",4,"label",32,"SingleObject",30.6130975184379
7,"Compound Representations","DMN","0.25",4,"no_label",30,"SingleObject",30.450071070798
7,"Compound Representations","DMN","0.25",5,"label",29,"SingleObject",27.9218202411327
7,"Compound Representations","DMN","0.25",5,"no_label",26,"SingleObject",27.7180371815829
7,"Compound Representations","DMN","0.25",6,"label",25,"SingleObject",25.2305429638276
7,"Compound Representations","DMN","0.25",6,"no_label",23,"SingleObject",24.9860032923678
7,"Compound Representations","DMN","0.25",7,"label",22,"SingleObject",22.5392656865225
7,"Compound Representations","DMN","0.25",7,"no_label",20,"SingleObject",22.2539694031527
9,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
9,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
9,"Labels as Features","DMN","0.25",1,"no_label",40,"SingleObject",37.4766636148451
9,"Labels as Features","DMN","0.25",1,"label",39,"SingleObject",38.4003126570057
9,"Labels as Features","DMN","0.25",2,"no_label",40,"SingleObject",34.74462972563
9,"Labels as Features","DMN","0.25",2,"label",36,"SingleObject",35.7090353797006
9,"Labels as Features","DMN","0.25",3,"no_label",40,"SingleObject",32.0125958364149
9,"Labels as Features","DMN","0.25",3,"label",33,"SingleObject",33.0177581023954
9,"Labels as Features","DMN","0.25",4,"no_label",38,"SingleObject",29.2805619471999
9,"Labels as Features","DMN","0.25",4,"label",30,"SingleObject",30.3264808250903
9,"Labels as Features","DMN","0.25",5,"no_label",35,"SingleObject",26.5485280579848
9,"Labels as Features","DMN","0.25",5,"label",28,"SingleObject",27.6352035477852
9,"Labels as Features","DMN","0.25",6,"no_label",32,"SingleObject",23.8164941687697
9,"Labels as Features","DMN","0.25",6,"label",25,"SingleObject",24.9439262704801
9,"Labels as Features","DMN","0.25",7,"no_label",29,"SingleObject",21.0844602795546
9,"Labels as Features","DMN","0.25",7,"label",23,"SingleObject",22.252648993175
11,"Compound Representations","DMN","0.25",0,"no_label",40,"SingleObject",41.3782066276583
11,"Compound Representations","DMN","0.25",0,"label",40,"SingleObject",41.3782066276583
11,"Compound Representations","DMN","0.25",1,"no_label",40,"SingleObject",38.6461727384432
11,"Compound Representations","DMN","0.25",1,"label",40,"SingleObject",38.6869293503532
11,"Compound Representations","DMN","0.25",2,"no_label",40,"SingleObject",35.9141388492281
11,"Compound Representations","DMN","0.25",2,"label",40,"SingleObject",35.9956520730481
11,"Compound Representations","DMN","0.25",3,"no_label",36,"SingleObject",33.182104960013
11,"Compound Representations","DMN","0.25",3,"label",35,"SingleObject",33.304374795743
11,"Compound Representations","DMN","0.25",4,"no_label",32,"SingleObject",30.450071070798
11,"Compound Representations","DMN","0.25",4,"label",31,"SingleObject",30.6130975184379
11,"Compound Representations","DMN","0.25",5,"no_label",28,"SingleObject",27.7180371815829
11,"Compound Representations","DMN","0.25",5,"label",26,"SingleObject",27.9218202411327
11,"Compound Representations","DMN","0.25",6,"no_label",23,"SingleObject",24.9860032923678
11,"Compound Representations","DMN","0.25",6,"label",22,"SingleObject",25.2305429638276
11,"Compound Representations","DMN","0.25",7,"no_label",19,"SingleObject",22.2539694031527
11,"Compound Representations","DMN","0.25",7,"label",18,"SingleObject",22.5392656865225
13,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
13,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
13,"Labels as Features","DMN","0.25",1,"label",40,"SingleObject",38.4003126570057
13,"Labels as Features","DMN","0.25",1,"no_label",40,"SingleObject",37.4766636148451
13,"Labels as Features","DMN","0.25",2,"label",40,"SingleObject",35.7090353797006
13,"Labels as Features","DMN","0.25",2,"no_label",40,"SingleObject",34.74462972563
13,"Labels as Features","DMN","0.25",3,"label",39,"SingleObject",33.0177581023954
13,"Labels as Features","DMN","0.25",3,"no_label",36,"SingleObject",32.0125958364149
13,"Labels as Features","DMN","0.25",4,"label",35,"SingleObject",30.3264808250903
13,"Labels as Features","DMN","0.25",4,"no_label",32,"SingleObject",29.2805619471999
13,"Labels as Features","DMN","0.25",5,"label",31,"SingleObject",27.6352035477852
13,"Labels as Features","DMN","0.25",5,"no_label",28,"SingleObject",26.5485280579848
13,"Labels as Features","DMN","0.25",6,"label",27,"SingleObject",24.9439262704801
13,"Labels as Features","DMN","0.25",6,"no_label",25,"SingleObject",23.8164941687697
13,"Labels as Features","DMN","0.25",7,"label",24,"SingleObject",22.252648993175
13,"Labels as Features","DMN","0.25",7,"no_label",21,"SingleObject",21.0844602795546
15,"Compound Representations","DMN","0.25",0,"label",39,"SingleObject",41.3782066276583
15,"Compound Representations","DMN","0.25",0,"no_label",37,"SingleObject",41.3782066276583
15,"Compound Representations","DMN","0.25",1,"label",38,"SingleObject",38.6869293503532
15,"Compound Representations","DMN","0.25",1,"no_label",34,"SingleObject",38.6461727384432
15,"Compound Representations","DMN","0.25",2,"label",35,"SingleObject",35.9956520730481
15,"Compound Representations","DMN","0.25",2,"no_label",32,"SingleObject",35.9141388492281
15,"Compound Representations","DMN","0.25",3,"label",33,"SingleObject",33.304374795743
15,"Compound Representations","DMN","0.25",3,"no_label",30,"SingleObject",33.182104960013
15,"Compound Representations","DMN","0.25",4,"label",31,"SingleObject",30.6130975184379
15,"Compound Representations","DMN","0.25",4,"no_label",27,"SingleObject",30.450071070798
15,"Compound Representations","DMN","0.25",5,"label",28,"SingleObject",27.9218202411327
15,"Compound Representations","DMN","0.25",5,"no_label",25,"SingleObject",27.7180371815829
15,"Compound Representations","DMN","0.25",6,"label",26,"SingleObject",25.2305429638276
15,"Compound Representations","DMN","0.25",6,"no_label",23,"SingleObject",24.9860032923678
15,"Compound Representations","DMN","0.25",7,"label",23,"SingleObject",22.5392656865225
15,"Compound Representations","DMN","0.25",7,"no_label",21,"SingleObject",22.2539694031527
17,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
17,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
17,"Labels as Features","DMN","0.25",1,"no_label",40,"SingleObject",37.4766636148451
17,"Labels as Features","DMN","0.25",1,"label",40,"SingleObject",38.4003126570057
17,"Labels as Features","DMN","0.25",2,"no_label",38,"SingleObject",34.74462972563
17,"Labels as Features","DMN","0.25",2,"label",39,"SingleObject",35.7090353797006
17,"Labels as Features","DMN","0.25",3,"no_label",34,"SingleObject",32.0125958364149
17,"Labels as Features","DMN","0.25",3,"label",35,"SingleObject",33.0177581023954
17,"Labels as Features","DMN","0.25",4,"no_label",31,"SingleObject",29.2805619471999
17,"Labels as Features","DMN","0.25",4,"label",32,"SingleObject",30.3264808250903
17,"Labels as Features","DMN","0.25",5,"no_label",27,"SingleObject",26.5485280579848
17,"Labels as Features","DMN","0.25",5,"label",28,"SingleObject",27.6352035477852
17,"Labels as Features","DMN","0.25",6,"no_label",24,"SingleObject",23.8164941687697
17,"Labels as Features","DMN","0.25",6,"label",24,"SingleObject",24.9439262704801
17,"Labels as Features","DMN","0.25",7,"no_label",20,"SingleObject",21.0844602795546
17,"Labels as Features","DMN","0.25",7,"label",21,"SingleObject",22.252648993175
19,"Compound Representations","DMN","0.25",0,"no_label",40,"SingleObject",41.3782066276583
19,"Compound Representations","DMN","0.25",0,"label",40,"SingleObject",41.3782066276583
19,"Compound Representations","DMN","0.25",1,"no_label",40,"SingleObject",38.6461727384432
19,"Compound Representations","DMN","0.25",1,"label",40,"SingleObject",38.6869293503532
19,"Compound Representations","DMN","0.25",2,"no_label",38,"SingleObject",35.9141388492281
19,"Compound Representations","DMN","0.25",2,"label",39,"SingleObject",35.9956520730481
19,"Compound Representations","DMN","0.25",3,"no_label",34,"SingleObject",33.182104960013
19,"Compound Representations","DMN","0.25",3,"label",35,"SingleObject",33.304374795743
19,"Compound Representations","DMN","0.25",4,"no_label",31,"SingleObject",30.450071070798
19,"Compound Representations","DMN","0.25",4,"label",31,"SingleObject",30.6130975184379
19,"Compound Representations","DMN","0.25",5,"no_label",27,"SingleObject",27.7180371815829
19,"Compound Representations","DMN","0.25",5,"label",27,"SingleObject",27.9218202411327
19,"Compound Representations","DMN","0.25",6,"no_label",23,"SingleObject",24.9860032923678
19,"Compound Representations","DMN","0.25",6,"label",23,"SingleObject",25.2305429638276
19,"Compound Representations","DMN","0.25",7,"no_label",20,"SingleObject",22.2539694031527
19,"Compound Representations","DMN","0.25",7,"label",19,"SingleObject",22.5392656865225
21,"Labels as Features","DMN","0.25",0,"label",40,"SingleObject",41.0915899343108
21,"Labels as Features","DMN","0.25",0,"no_label",40,"SingleObject",40.2086975040602
21,"Labels as Features","DMN","0.25",1,"label",38,"SingleObject",38.4003126570057
21,"Labels as Features","DMN","0.25",1,"no_label",38,"SingleObject",37.4766636148451
21,"Labels as Features","DMN","0.25",2,"label",35,"SingleObject",35.7090353797006
21,"Labels as Features","DMN","0.25",2,"no_label",35,"SingleObject",34.74462972563
21,"Labels as Features","DMN","0.25",3,"label",32,"SingleObject",33.0177581023954
21,"Labels as Features","DMN","0.25",3,"no_label",32,"SingleObject",32.0125958364149
21,"Labels as Features","DMN","0.25",4,"label",29,"SingleObject",30.3264808250903
21,"Labels as Features","DMN","0.25",4,"no_label",29,"SingleObject",29.2805619471999
21,"Labels as Features","DMN","0.25",5,"label",26,"SingleObject",27.6352035477852
21,"Labels as Features","DMN","0.25",5,"no_label",26,"SingleObject",26.5485280579848
21,"Labels as Features","DMN","0.25",6,"label",23,"SingleObject",24.9439262704801
21,"Labels as Features","DMN","0.25",6,"no_label",23,"SingleObject",23.8164941687697
21,"Labels as Features","DMN","0.25",7,"label",21,"SingleObject",22.252648993175
21,"Labels as Features","DMN","0.25",7,"no_label",21,"SingleObject",21.0844602795546
23,"Compound Representations","DMN","0.25",0,"label",40,"SingleObject",41.3782066276583
23,"Compound Representations","DMN","0.25",0,"no_label",40,"SingleObject",41.3782066276583
