subject,model,explo_overlap,trial,labelled,i_presentation,error
1,LaF,0.25,0,label,0,2.84682899662
1,LaF,0.25,0,label,1,1.10521002766
1,LaF,0.25,0,label,2,1.30008440016
1,LaF,0.25,0,label,3,0.83136953229
1,LaF,0.25,0,label,4,0.713851661526
1,LaF,0.25,0,label,5,0.522972898351
1,LaF,0.25,0,label,6,0.415133528879
1,LaF,0.25,0,label,7,0.315190585676
1,LaF,0.25,0,label,8,0.244794446915
1,LaF,0.25,0,label,9,0.187616162268
1,LaF,0.25,0,label,10,0.144750604374
1,LaF,0.25,0,label,11,0.111217733632
1,LaF,0.25,0,label,12,0.0856246144789
1,LaF,0.25,0,label,13,0.065834625702
1,LaF,0.25,0,label,14,0.0506513657159
1,LaF,0.25,0,label,15,0.038954748514
1,LaF,0.25,0,label,16,0.0299668048504
1,LaF,0.25,0,label,17,0.0230511108808
1,LaF,0.25,0,label,18,0.0177340742953
1,LaF,0.25,0,label,19,0.0136442010027
1,LaF,0.25,0,label,20,0.0104988922757
1,LaF,0.25,0,label,21,0.00807946444084
1,LaF,0.25,0,no_label,0,2.18239024808
1,LaF,0.25,0,no_label,1,0.853366509269
1,LaF,0.25,0,no_label,2,0.996307330757
1,LaF,0.25,0,no_label,3,0.641818859708
1,LaF,0.25,0,no_label,4,0.550608392721
1,LaF,0.25,0,no_label,5,0.405793008231
1,LaF,0.25,0,no_label,6,0.322852603876
1,LaF,0.25,0,no_label,7,0.246508780611
1,LaF,0.25,0,no_label,8,0.192179880208
1,LaF,0.25,0,no_label,9,0.148097276127
1,LaF,0.25,0,no_label,10,0.114785252792
1,LaF,0.25,0,no_label,11,0.0886670564599
1,LaF,0.25,0,no_label,12,0.0686019071571
1,LaF,0.25,0,no_label,13,0.0530248196553
1,LaF,0.25,0,no_label,14,0.0410037185854
1,LaF,0.25,0,no_label,15,0.0316990484095
1,LaF,0.25,0,no_label,16,0.024509642001
1,LaF,0.25,0,no_label,17,0.0189498006847
1,LaF,0.25,0,no_label,18,0.0146523537662
1,LaF,0.25,0,no_label,19,0.0113297568789
1,LaF,0.25,0,no_label,20,0.00876118848737
1,LaF,0.25,1,label,0,1.90183755755
1,LaF,0.25,1,label,1,0.63265923855
1,LaF,0.25,1,label,2,0.848799998317
1,LaF,0.25,1,label,3,0.496188954899
1,LaF,0.25,1,label,4,0.449085014884
1,LaF,0.25,1,label,5,0.316238961626
1,LaF,0.25,1,label,6,0.25560852831
1,LaF,0.25,1,label,7,0.191078337465
1,LaF,0.25,1,label,8,0.149189169029
1,LaF,0.25,1,label,9,0.113650600933
1,LaF,0.25,1,label,10,0.0877833031893
1,LaF,0.25,1,label,11,0.0672765235016
1,LaF,0.25,1,label,12,0.0517908307989
1,LaF,0.25,1,label,13,0.0397719952727
1,LaF,0.25,1,label,14,0.0305878301845
1,LaF,0.25,1,label,15,0.0235072931674
1,LaF,0.25,1,label,16,0.0180756043102
1,LaF,0.25,1,label,17,0.0138966117575
1,LaF,0.25,1,label,18,0.0106863929121
1,LaF,0.25,1,label,19,0.00821787650539
1,LaF,0.25,1,no_label,0,1.55226077398
1,LaF,0.25,1,no_label,1,0.555904513341
1,LaF,0.25,1,no_label,2,0.694749738596
1,LaF,0.25,1,no_label,3,0.423019949354
1,LaF,0.25,1,no_label,4,0.372838722688
1,LaF,0.25,1,no_label,5,0.266772049904
1,LaF,0.25,1,no_label,6,0.213739414024
1,LaF,0.25,1,no_label,7,0.160672343622
1,LaF,0.25,1,no_label,8,0.125102901928
1,LaF,0.25,1,no_label,9,0.0954821367488
1,LaF,0.25,1,no_label,10,0.0736872279618
1,LaF,0.25,1,no_label,11,0.0565087866469
1,LaF,0.25,1,no_label,12,0.0434894493591
1,LaF,0.25,1,no_label,13,0.0334031581957
1,LaF,0.25,1,no_label,14,0.0256864697964
1,LaF,0.25,1,no_label,15,0.0197407773354
1,LaF,0.25,1,no_label,16,0.0151779373207
1,LaF,0.25,1,no_label,17,0.0116681931936
1,LaF,0.25,1,no_label,18,0.00897185729817
1,LaF,0.25,2,label,0,1.28815227339
1,LaF,0.25,2,label,1,0.403839935118
1,LaF,0.25,2,label,2,0.569351205572
1,LaF,0.25,2,label,3,0.317882129791
1,LaF,0.25,2,label,4,0.295400986675
1,LaF,0.25,2,label,5,0.202105044854
1,LaF,0.25,2,label,6,0.16502279397
1,LaF,0.25,2,label,7,0.121317706127
1,LaF,0.25,2,label,8,0.0948555600377
1,LaF,0.25,2,label,9,0.0715162607472
1,LaF,0.25,2,label,10,0.0550968520539
1,LaF,0.25,2,label,11,0.0419143433904
1,LaF,0.25,2,label,12,0.0321310178653
1,LaF,0.25,2,label,13,0.0245244734311
1,LaF,0.25,2,label,14,0.0187709032333
1,LaF,0.25,2,label,15,0.0143465927686
1,LaF,0.25,2,label,16,0.0109769662717
1,LaF,0.25,2,label,17,0.00839539765227
1,LaF,0.25,2,no_label,0,1.01481110229
1,LaF,0.25,2,no_label,1,0.33378388296
1,LaF,0.25,2,no_label,2,0.448999480929
1,LaF,0.25,2,no_label,3,0.258040286953
1,LaF,0.25,2,no_label,4,0.235133560602
1,LaF,0.25,2,no_label,5,0.163003353324
1,LaF,0.25,2,no_label,6,0.132138449176
1,LaF,0.25,2,no_label,7,0.0976839903071
1,LaF,0.25,2,no_label,8,0.0761981355338
1,LaF,0.25,2,no_label,9,0.0575902817122
1,LaF,0.25,2,no_label,10,0.044344534907
1,LaF,0.25,2,no_label,11,0.0337763486604
1,LaF,0.25,2,no_label,12,0.0258956015545
1,LaF,0.25,2,no_label,13,0.019780313978
1,LaF,0.25,2,no_label,14,0.0151449405796
1,LaF,0.25,2,no_label,15,0.0115819368498
1,LaF,0.25,2,no_label,16,0.00886532489175
1,LaF,0.25,3,label,0,0.808150158501
1,LaF,0.25,3,label,1,0.239305933848
1,LaF,0.25,3,label,2,0.355250578315
1,LaF,0.25,3,label,3,0.189819803733
1,LaF,0.25,3,label,4,0.18149862507
1,LaF,0.25,3,label,5,0.120783359727
1,LaF,0.25,3,label,6,0.0998753131583
1,LaF,0.25,3,label,7,0.0722556030374
1,LaF,0.25,3,label,8,0.0567088590624
1,LaF,0.25,3,label,9,0.0423474357525
1,LaF,0.25,3,label,10,0.0326079437147
1,LaF,0.25,3,label,11,0.0246475798717
