subject,theory,explo_overlap,trial,labelled,looking_time
0,LaF,0.25,0,no_label,1.16623906462
0,LaF,0.25,0,label,1.77534184303
0,LaF,0.25,1,no_label,1.19924280197
0,LaF,0.25,1,label,1.62148553093
0,LaF,0.25,2,no_label,1.20238234383
0,LaF,0.25,2,label,1.31986409601
0,LaF,0.25,3,no_label,1.10662091281
0,LaF,0.25,3,label,1.08356177325
0,LaF,0.25,4,no_label,0.997064580027
0,LaF,0.25,4,label,0.9090024105
0,LaF,0.25,5,no_label,0.89107602555
0,LaF,0.25,5,label,0.775683865611
0,LaF,0.25,6,no_label,0.792422729705
0,LaF,0.25,6,label,0.669537905185
0,LaF,0.25,7,no_label,0.702223323864
0,LaF,0.25,7,label,0.582200330037
1,CR,0.25,0,no_label,1.59415653796
1,CR,0.25,0,label,1.01798275993
1,CR,0.25,1,no_label,1.27008983321
1,CR,0.25,1,label,0.955223992027
1,CR,0.25,2,no_label,1.05955511977
1,CR,0.25,2,label,0.820876986533
1,CR,0.25,3,no_label,0.889386723898
1,CR,0.25,3,label,0.706435332269
1,CR,0.25,4,no_label,0.752698876874
1,CR,0.25,4,label,0.612133418614
1,CR,0.25,5,no_label,0.641133207603
1,CR,0.25,5,label,0.532652296622
1,CR,0.25,6,no_label,0.548689189558
1,CR,0.25,6,label,0.464562992292
1,CR,0.25,7,no_label,0.471385384871
1,CR,0.25,7,label,0.405815427562
2,LaF,0.25,0,label,1.96722403219
2,LaF,0.25,0,no_label,1.22535228877
2,LaF,0.25,1,label,1.62421843052
2,LaF,0.25,1,no_label,1.251238181
2,LaF,0.25,2,label,1.31115367921
2,LaF,0.25,2,no_label,1.14374353272
2,LaF,0.25,3,label,1.07869198444
2,LaF,0.25,3,no_label,1.02689136231
2,LaF,0.25,4,label,0.909244373713
2,LaF,0.25,4,no_label,0.916749836052
2,LaF,0.25,5,label,0.780305311137
2,LaF,0.25,5,no_label,0.815580893998
2,LaF,0.25,6,label,0.677447536671
2,LaF,0.25,6,no_label,0.723692920446
2,LaF,0.25,7,label,0.592347956059
2,LaF,0.25,7,no_label,0.640969220054
3,CR,0.25,0,label,1.20587529516
3,CR,0.25,0,no_label,1.37265175349
3,CR,0.25,1,label,0.945084916341
3,CR,0.25,1,no_label,1.25335235123
3,CR,0.25,2,label,0.8415510432
3,CR,0.25,2,no_label,1.04786320578
3,CR,0.25,3,label,0.739732421574
3,CR,0.25,3,no_label,0.876895249987
3,CR,0.25,4,label,0.65071131962
3,CR,0.25,4,no_label,0.740268145326
3,CR,0.25,5,label,0.573133093737
3,CR,0.25,5,no_label,0.629479099065
3,CR,0.25,6,label,0.504818308955
3,CR,0.25,6,no_label,0.538296638706
3,CR,0.25,7,label,0.444469056468
3,CR,0.25,7,no_label,0.462515739844
4,LaF,0.25,0,no_label,1.5653198345
4,LaF,0.25,0,label,1.43671763351
4,LaF,0.25,1,no_label,1.1454675999
4,LaF,0.25,1,label,1.29832834413
4,LaF,0.25,2,no_label,1.00742436293
4,LaF,0.25,2,label,1.1067507708
4,LaF,0.25,3,no_label,0.910350788117
4,LaF,0.25,3,label,0.962902861904
4,LaF,0.25,4,no_label,0.830888864239
4,LaF,0.25,4,label,0.852957716735
4,LaF,0.25,5,no_label,0.760819031989
4,LaF,0.25,5,label,0.764103960302
4,LaF,0.25,6,no_label,0.696580197579
4,LaF,0.25,6,label,0.689132263342
4,LaF,0.25,7,no_label,0.636814799516
4,LaF,0.25,7,label,0.623992985769
5,CR,0.25,0,no_label,1.49678084082
5,CR,0.25,0,label,1.22987121835
5,CR,0.25,1,no_label,1.01798362864
5,CR,0.25,1,label,1.13318586678
5,CR,0.25,2,no_label,0.825041576463
5,CR,0.25,2,label,0.968296564173
5,CR,0.25,3,no_label,0.706414314819
5,CR,0.25,3,label,0.831261621064
5,CR,0.25,4,no_label,0.622627707689
5,CR,0.25,4,label,0.719075712319
5,CR,0.25,5,no_label,0.555569815462
5,CR,0.25,5,label,0.625365831396
5,CR,0.25,6,no_label,0.497648585456
5,CR,0.25,6,label,0.546018202415
5,CR,0.25,7,no_label,0.445956722221
5,CR,0.25,7,label,0.47829875599
6,LaF,0.25,0,label,1.49680626691
6,LaF,0.25,0,no_label,1.03407332733
6,LaF,0.25,1,label,1.33533145261
6,LaF,0.25,1,no_label,1.03761850003
6,LaF,0.25,2,label,1.14373738007
6,LaF,0.25,2,no_label,0.95555426566
6,LaF,0.25,3,label,0.986044973291
6,LaF,0.25,3,no_label,0.874540417349
6,LaF,0.25,4,label,0.860594337741
6,LaF,0.25,4,no_label,0.800703953762
6,LaF,0.25,5,label,0.758091718969
6,LaF,0.25,5,no_label,0.733165011695
6,LaF,0.25,6,label,0.672077164321
6,LaF,0.25,6,no_label,0.671060899402
6,LaF,0.25,7,label,0.598553228077
6,LaF,0.25,7,no_label,0.613877012217
7,CR,0.25,0,label,1.75233761322
7,CR,0.25,0,no_label,1.30641112716
7,CR,0.25,1,label,1.19453020414
7,CR,0.25,1,no_label,1.23798453463
7,CR,0.25,2,label,0.992078051819
7,CR,0.25,2,no_label,1.0422133914
7,CR,0.25,3,label,0.841855425935
